Resource Name,Population,Primary Category,Services,Crisis Services,Notes
Behavioral Health Response,Adult & Youth,Crisis,Crisis support; Telephone counseling; Mental health resources,Yes,24/7 crisis support and referrals
Crisis Text Line,Adult & Youth,Crisis,Text-based crisis support,Yes,Free 24/7 crisis text support
Affinia Healthcare,Adult,Mental Health,Adult psychiatric services integrated with primary care,No,Adult behavioral health services
BJC Behavioral Health,Adult,Mental Health,Psychiatric rehabilitation; Transitional programs; Therapy,No,Multiple therapy services
Compass Health Network,Adult,Mental Health,Assessment; Counseling; Psychiatry; Psychology,No,Comprehensive outpatient behavioral health care
Hopewell Center,Adult,Mental Health,Outpatient; Residential; Rehabilitation,No,Adult mental health services
Places for People,Adult,Mental Health,Individual therapy; Family therapy; Early intervention; Crisis intervention; Psychiatric services,Yes,Comprehensive behavioral health services
Provident Behavioral Health,Adult,Mental Health,Individual counseling; Group counseling; Family counseling; Psychiatric services,No,Outpatient behavioral health services
UMSL Behavioral Health,Adult,Mental Health,Assessment; Treatment; Group therapy,No,Adult behavioral health clinic
Safe Connections,Adult & Youth,Support Services,Domestic violence support; Sexual abuse support; Referrals,No,Support for survivors and loved ones
SSM Behavioral Health Urgent Care,Adult & Youth,Urgent Mental Health,Urgent behavioral health evaluation; Walk-in mental health care,Yes,Walk-in behavioral health urgent care
Bilingual International,Adult,Mental Health,Psychological assessment; Crisis intervention; Home-based psychotherapy; Referrals,Yes,Behavioral health services for immigrant populations
Casa de Salud,Adult,Mental Health,Mental health care; Bilingual services,No,Language-accessible behavioral health care
Saint Louis Behavioral Medicine Institute,Adult,Mental Health,Outpatient therapy; Intensive outpatient; Partial hospitalization; Family therapy,No,Multiple levels of behavioral health care
Affinia Healthcare,Youth,Mental Health,Pediatric psychiatry; Behavioral health care,No,Children from infancy through age 18
Annie Malone Children & Family Services,Youth,Mental Health,24-hour crisis care; SAFER program; Therapeutic services,Yes,Youth and family behavioral health services
Family Forward,Youth,Mental Health,Trauma assessment; Treatment; Education,No,Trauma-focused youth services
Hopewell Center,Youth,Mental Health,Outpatient; Residential; Rehabilitation,No,Child and adolescent behavioral health services
Our Little Haven,Youth,Mental Health,Assessment; Evaluation; Treatment; Community consultation,No,Outpatient youth behavioral health
Places for People,Youth,Mental Health,Individual therapy; Family therapy; Early intervention; Crisis intervention; Psychiatric services,Yes,Youth behavioral health services
Provident Behavioral Health,Youth,Mental Health,Individual counseling; Group counseling; Family counseling; Psychiatric services,No,Youth counseling services
UMSL Behavioral Health,Youth,Mental Health,Assessment; Treatment; Group therapy,No,Youth behavioral health clinic
Kids Under Twenty One (KUTO),Youth,Crisis,Peer crisis support; Problem-solving assistance,Yes,Youth-operated support line
Bridgeway Behavioral Health,Adult,Substance Use,Substance use treatment; Recovery services,No,Recovery-focused behavioral health care
Center for Life Solutions,Adult,Substance Use,Evaluation; Therapy; Case management; Medication-Assisted Treatment (MAT),No,Outpatient substance use treatment
Harris House,Adult,Substance Use,Addiction treatment; Recovery services,No,Treatment matched to recovery stage
Hilljack House,Adult,Substance Use,Recovery housing; 12-step support,No,Supportive recovery environment
Queen of Peace,Women & Families,Substance Use,Early intervention; Treatment; Long-term recovery support,No,"Serves women, children, adolescents, and families"
Assisted Recovery Centers of America (ARCA),Adult,Substance Use,Outpatient addiction treatment,No,Outpatient recovery services
Salvation Army Midtown,Adult,Substance Use,Inpatient treatment; Outpatient treatment,No,Multiple treatment options
West End Clinic,Adult,Substance Use,Case management; Medication-Assisted Treatment (MAT),No,Medication-assisted recovery services
SAMHSA Find Treatment,Adult & Youth,Substance Use,Treatment locator,No,National treatment referral resource
